sinai_med,mover_med,,,,,
Fluticasone,FLUTICASONE-SALMETEROL 100-50 MCG/DOSE IN MISC,,,,,
Ipratropium,IPRATROPIUM BROMIDE HFA 17 MCG/ACT IN AERS,,,,,
Ipratropium,IPRATROPIUM BROMIDE 0.02 % IN SOLN,,,,,
Ipratropium,IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,,,,,
Ipratropium,IPRATROPIUM-ALBUTEROL 20-100 MCG/ACT IN AERS,,,,,
Dapsone,DAPSONE 100 MG OR TABS,,,,,
Polyethylene glycol,POLYETHYLENE GLYCOL 3350 OR PACK,,,,,
Polyethylene glycol,POLYETHYLENE GLYCOL 3350 OR POWD,,,,,
Cefuroxime,CEFUROXIME IV PUSH 1500 MG IN SWFI 20 ML,,,,,
Cefuroxime,CEFUROXIME AXETIL 250 MG OR TABS,,,,,
Cefuroxime,CEFUROXIME IV PUSH 1500 MG IN SWFI 20 ML (ANESTHESIA)(UCI),,,,,
Dobutamine,DOBUTAMINE IN D5W 4-5 MG/ML-% IV SOLN,,,,,
Dobutamine,DOBUTAMINE 500 MG/250 ML D5W PREMIX INFUSION (UCI),,,,,
Dobutamine,DOBUTAMINE 500 MG/250 ML NS INFUSION (UCI),,,,,
Dobutamine,DOBUTAMINE 1000 MG/250 ML VARIABLE BASE INFUSION (UCI),,,,,
Dobutamine,DOBUTAMINE IN D5W 1 MG/ML IV SOLN,,,,,
Glycopyrrolate,GLYCOPYRROLATE 1 MG/5ML IV SOSY,,,,,
Glycopyrrolate,GLYCOPYRROLATE 0.2 MG/ML IJ SOLN,,,,,
Glycopyrrolate,GLYCOPYRROLATE 1 MG/5ML IJ SOLN,,,,,
Glycopyrrolate,GLYCOPYRROLATE 1 MG OR TABS,,,,,
Lidocaine; Epinephrine,LIDOCAINE-EPINEPHRINE 1.5 %-1:200000 IJ SOLN,,,,,
Lidocaine; Epinephrine,LIDOCAINE-EPINEPHRINE 1 %-1:100000 IJ SOLN,,,,,
Lidocaine; Epinephrine,LIDOCAINE-EPINEPHRINE 2 %-1:100000 IJ SOLN,,,,,
Lidocaine; Epinephrine,LIDOCAINE-EPINEPHRINE 2 %-1:200000 IJ SOLN,,,,,
Lidocaine; Epinephrine,LIDOCAINE-EPINEPHRINE 0.5 %-1:200000 IJ SOLN,,,,,
Clopidogrel,CLOPIDOGREL BISULFATE 300 MG OR TABS,,,,,
Clopidogrel,CLOPIDOGREL BISULFATE 75 MG OR TABS,,,,,
Perflutren,PERFLUTREN LIPID MICROSPHERE 1.1 MG/ML IV SUSP,,,,,
Iopamidol,IOPAMIDOL 76 % IV SOLN,,,,,
Iopamidol,IOPAMIDOL 61 % IV SOLN,,,,,
Ceftriaxone,CEFTRIAXONE IV 1 GM IN SWFI,,,,,
Ceftriaxone,CEFTRIAXONE IV 2 GM IN SWFI (UCI),,,,,
Ceftriaxone,CEFTRIAXONE SODIUM 1 GM IJ SOLR,,,,,
Ceftriaxone,CEFTRIAXONE SODIUM 2 GM IJ SOLR,,,,,
Ceftriaxone,CEFTRIAXONE SODIUM 250 MG IJ SOLR,,,,,
Ceftriaxone,CEFTRIAXONE IVPB 1 GM IN NS (UCI),,,,,
Ceftriaxone,CEFTRIAXONE IVPB 2 GM IN NS (UCI),,,,,
Ceftriaxone,CEFTRIAXONE IVPB 1 GM IN D5W (UCI),,,,,
Ceftriaxone,CEFTRIAXONE IVPB 2 GM IN D5W (UCI),,,,,
Cisatracurium,CISATRACURIUM BESYLATE 20 MG/10ML IV SOLN,,,,,
Cisatracurium,CISATRACURIUM 100 MG/100 ML NS INFUSION (UCI),,,,,
Cisatracurium,CISATRACURIUM BESYLATE (PF) 200 MG/20ML IV SOLN,,,,,
Cisatracurium,CISATRACURIUM INFUSION,,,,,
Furosemide,FUROSEMIDE 10 MG/ML IJ SOLN,,,,,
Furosemide,FUROSEMIDE 40 MG OR TABS,,,,,
Furosemide,FUROSEMIDE 20 MG OR TABS,,,,,
Furosemide,FUROSEMIDE 10 MG OR TABS (HALF TABLET),,,,,
Furosemide,FUROSEMIDE IVPB 80 MG (UCI),,,,,
Furosemide,FUROSEMIDE IVPB 40 MG (UCI),,,,,
Furosemide,FUROSEMIDE IN D5W INFUSION (VARIABLE CONCENTRATION) (UCI),,,,,
Furosemide,FUROSEMIDE IVPB 120 MG (UCI),,,,,
Furosemide,FUROSEMIDE 10 MG/ML OR SOLN,,,,,
Quetiapine,QUETIAPINE FUMARATE 50 MG OR TABS,,,,,
Quetiapine,QUETIAPINE FUMARATE 300 MG OR TABS,,,,,
Quetiapine,QUETIAPINE FUMARATE 200 MG OR TABS,,,,,
Quetiapine,QUETIAPINE FUMARATE 25 MG OR TABS,,,,,
Quetiapine,QUETIAPINE FUMARATE 12.5 MG OR TABS (HALF TABLET),,,,,
Quetiapine,QUETIAPINE FUMARATE 400 MG OR TB24,,,,,
Quetiapine,QUETIAPINE FUMARATE ER 50 MG PO TB24,,,,,
Quetiapine,QUETIAPINE FUMARATE 300 MG OR TB24,,,,,
Quetiapine,QUETIAPINE FUMARATE 200 MG OR TB24,,,,,
Docusate,DOCUSATE SODIUM 100 MG OR CAPS,,,,,
Docusate,DOCUSATE SODIUM 150 MG/15ML OR LIQD,,,,,
Docusate,DOCUSATE SODIUM 250 MG OR CAPS,,,,,
Docusate,DOCUSATE SODIUM 50 MG/5ML OR LIQD,,,,,
Docusate,DOCUSATE SODIUM 283 MG RE ENEM,,,,,
Enalapril,ENALAPRILAT 1.25 MG/ML IV INJ,,,,,
Labetalol,LABETALOL HCL 5 MG/ML IV SOLN,,,,,
Labetalol,LABETALOL HCL 100 MG OR TABS,,,,,
Labetalol,LABETALOL HCL 200 MG OR TABS,,,,,
Labetalol,LABETALOL 250 MG/250 ML D5W INFUSION (UCI),,,,,
Labetalol,LABETALOL 500 MG/500 ML D5W INFUSION (UCI),,,,,
Tizanidine,TIZANIDINE HCL 2 MG OR TABS,,,,,
Tizanidine,TIZANIDINE HCL 4 MG OR TABS,,,,,
Isosorbide mononitrate,ISOSORBIDE MONONITRATE CR 60 MG OR TB24,,,,,
Isosorbide mononitrate,ISOSORBIDE MONONITRATE CR 30 MG OR TB24,,,,,
Isosorbide mononitrate,ISOSORBIDE MONONITRATE 20 MG OR TABS,,,,,
Isosorbide mononitrate,ISOSORBIDE MONONITRATE 10 MG OR TABS,,,,,
Erythromycin,ERYTHROMYCIN BASE 500 MG OR TABS,,,,,
Erythromycin,ERYTHROMYCIN BASE 250 MG OR TABS,,,,,
Erythromycin,ERYTHROMYCIN 5 MG/GM OP OINT,,,,,
Erythromycin,ERYTHROMYCIN ETHYLSUCCINATE 200 MG/5ML OR SUSR,,,,,
Erythromycin,ERYTHROMYCIN NEONATAL 5 MG/ML INJECTION (UCI),,,,,
Levetiracetam,LEVETIRACETAM 500 MG OR TABS,,,,,
Levetiracetam,LEVETIRACETAM 250 MG OR TABS,,,,,
Levetiracetam,LEVETIRACETAM IN NACL 1500 MG/100ML IV SOLN,,,,,
Levetiracetam,LEVETIRACETAM IN NACL 500 MG/100ML IV SOLN,,,,,
Levetiracetam,LEVETIRACETAM 500 MG/5ML IV SOLN,,,,,
Levetiracetam,LEVETIRACETAM IVPB (UCI),,,,,
Levetiracetam,LEVETIRACETAM 100 MG/ML OR SOLN,,,,,
Levetiracetam,LEVETIRACETAM ER 750 MG PO TB24,,,,,
Levetiracetam,LEVETIRACETAM 2G IN 250 ML IVPB (UCI),,,,,
Levetiracetam,LEVETIRACETAM IVPB 500 MG VIAL TO BAG (UCI),,,,,
Cefepime,CEFEPIME IVPB 2 GM (UCI),,,,,
Cefepime,CEFEPIME IVPB 1 GM (UCI),,,,,
Cefepime,CEFEPIME HCL 1 GM IJ SOLR,,,,,
Cefepime,CEFEPIME HCL 2 GM IJ SOLR,,,,,
Cefepime,CEFEPIME IV 2 GM,,,,,
Cefepime,CEFEPIME IV 1 GM,,,,,
Cefepime,CEFEPIME IV 2 GM IN SWFI,,,,,
Cefepime,CEFEPIME IV 1 GM IN SWFI,,,,,
Cefepime,CEFEPIME IV 100 MG/ML,,,,,
Cefepime,CEFEPIME IVPB (VARIABLE DOSE),,,,,
Levofloxacin,LEVOFLOXACIN IN D5W 500 MG/100ML IV SOLN,,,,,
Levofloxacin,LEVOFLOXACIN IN D5W 750 MG/150ML IV SOLN,,,,,
Levofloxacin,LEVOFLOXACIN IN D5W 250 MG/50ML IV SOLN,,,,,
Levofloxacin,LEVOFLOXACIN 500 MG OR TABS,,,,,
Levofloxacin,LEVOFLOXACIN 250 MG OR TABS,,,,,
Acetaminophen; Butalbital; Caffeine,ACETAMINOPHEN-CAFFEINE 500-65 MG OR TABS,,,,,
Sennosides,SENNOSIDES 8.6 MG OR TABS,,,,,
Sennosides,SENNOSIDES-DOCUSATE SODIUM 8.6-50 MG OR TABS,,,,,
Sennosides,SENNA 8.6 MG OR TABS,,,,,
Digoxin,DIGOXIN 0.25 MG/ML IJ SOLN,,,,,
Digoxin,DIGOXIN 0.05 MG/ML OR SOLN,,,,,
Digoxin,DIGOXIN 0.125 MG OR TABS,,,,,
Digoxin,DIGOXIN 0.25 MG OR TABS,,,,,
Digoxin,DIGOXIN 0.1 MG/ML IJ SOLN,,,,,
Timolol,TIMOLOL MALEATE 0.5 % OP SOLN,,,,,
Timolol,TIMOLOL MALEATE 0.25 % OP SOLN,,,,,
Triamcinolone,TRIAMCINOLONE ACETONIDE 0.1 % EX OINT,,,,,
Triamcinolone,TRIAMCINOLONE ACETONIDE 0.1 % EX CREA,,,,,
Triamcinolone,TRIAMCINOLONE ACETONIDE 40 MG/ML IJ SUSP,,,,,
Triamcinolone,TRIAMCINOLONE ACETONIDE 0.025 % EX OINT,,,,,
Triamcinolone,TRIAMCINOLONE ACETONIDE 0.1 % MT PSTE,,,,,
Phenytoin,PHENYTOIN SODIUM 50 MG/ML IJ SOLN,,,,,
Phenytoin,PHENYTOIN IVPB (UCI),,,,,
Phenytoin,PHENYTOIN IVPB (LOADING DOSE),,,,,
Phenytoin,PHENYTOIN 125 MG/5ML OR SUSP,,,,,
Phenytoin,PHENYTOIN 50 MG OR CHEW,,,,,
Phenytoin,PHENYTOIN SODIUM EXTENDED 100 MG OR CAPS,,,,,
Phenytoin,PHENYTOIN SODIUM EXTENDED 30 MG OR CAPS,,,,,
Sodium Bicarbonate,SODIUM BICARBONATE 325 MG OR TABS,,,,,
Sodium Bicarbonate,SODIUM BICARBONATE 650 MG OR TABS,,,,,
Sodium Bicarbonate,SODIUM BICARBONATE 8.4 % IV SOLN,,,,,
Sodium Bicarbonate,SODIUM BICARBONATE 4.2 % IV SOLN,,,,,
Sodium Bicarbonate,SODIUM BICARBONATE 150 MEQ/1000 ML INFUSION (UCI),,,,,
Sodium Bicarbonate,SODIUM BICARBONATE IVPB (UCI),,,,,
Sodium Bicarbonate,SODIUM BICARBONATE INFUSION (UCI),,,,,
Meclizine,MECLIZINE HCL 12.5 MG OR TABS,,,,,
Tramadol,TRAMADOL HCL 50 MG OR TABS,,,,,
Sulfamethoxazole,SULFAMETHOXAZOLE-TRIMETHOPRIM 800-160 MG OR TABS,,,,,
Sulfamethoxazole,SULFAMETHOXAZOLE-TRIMETHOPRIM 400-80 MG OR TABS,,,,,
Sulfamethoxazole,SULFAMETHOXAZOLE-TRIMETHOPRIM 200-40 MG/5ML OR SUSP,,,,,
Sulfamethoxazole,SULFAMETHOXAZOLE-TRIMETHOPRIM (IN D5W 500 ML) IVPB (UCI),,,,,
Sulfamethoxazole,SULFAMETHOXAZOLE-TRIMETHOPRIM (IN D5W 250 ML) IVPB (UCI),,,,,
Ampicillin; Sulbactam,AMPICILLIN-SULBACTAM IVPB 1.5 GM (UCI),,,,,
Ampicillin; Sulbactam,AMPICILLIN-SULBACTAM IVPB 3 GM (UCI),,,,,
Ampicillin; Sulbactam,AMPICILLIN-SULBACTAM SODIUM 3 (2-1) GM IJ SOLR,,,,,
Ampicillin; Sulbactam,AMPICILLIN-SULBACTAM IVPB (VARIABLE DOSE) (UCI),,,,,
Mannitol,MANNITOL 20 % IV SOLN,,,,,
Mannitol,MANNITOL 25 % IV SOLN,,,,,
Fluconazole,FLUCONAZOLE IN SODIUM CHLORIDE 400-0.9 MG/200ML-% IV SOLN,,,,,
Fluconazole,FLUCONAZOLE IN SODIUM CHLORIDE 200-0.9 MG/100ML-% IV SOLN,,,,,
Fluconazole,FLUCONAZOLE 200 MG OR TABS,,,,,
Fluconazole,FLUCONAZOLE 150 MG OR TABS,,,,,
Fluconazole,FLUCONAZOLE 100 MG OR TABS,,,,,
Fluconazole,FLUCONAZOLE 40 MG/ML OR SUSR,,,,,
Fluconazole,FLUCONAZOLE 10 MG/ML OR SUSR,,,,,
Fluconazole,FLUCONAZOLE IVPB (VARIABLE DOSE),,,,,
Gentamicin,GENTAMICIN SULFATE 0.1 % EX OINT,,,,,
Gentamicin,GENTAMICIN SULFATE 0.3 % OP OINT,,,,,
Gentamicin,GENTAMICIN SULFATE 40 MG/ML IJ SOLN,,,,,
Gentamicin,GENTAMICIN SULFATE 0.3 % OP SOLN,,,,,
Gentamicin,GENTAMICIN IN SALINE 0.8-0.9 MG/ML-% IV SOLN,,,,,
Gentamicin,GENTAMICIN IN SALINE 1-0.9 MG/ML-% IV SOLN,,,,,
Gentamicin,GENTAMICIN IN SALINE 1.2-0.9 MG/ML-% IV SOLN,,,,,
Gentamicin,GENTAMICIN IN SALINE 1.6-0.9 MG/ML-% IV SOLN,,,,,
Gentamicin,GENTAMICIN > 100 MG IVPB (UCI),,,,,
Gentamicin,GENTAMICIN < 100 MG IVPB (UCI),,,,,
Gentamicin,GENTAMICIN IRRIGATION (UCI),,,,,
Gentamicin,GENTAMICIN INTRATHECAL INJECTION (UCI),,,,,
Gentamicin,GENTAMICIN PF INTRATHECAL OR INTRAVENTRICULAR INJECTION (UCI),,,,,
Desmopressin,DESMOPRESSIN ACETATE 4 MCG/ML IJ SOLN,,,,,
Desmopressin,DESMOPRESSIN ACETATE 0.1 MG OR TABS,,,,,
Desmopressin,DESMOPRESSIN ACETATE 0.05 MG OR TABS (HALF TABLET),,,,,
Desmopressin,DESMOPRESSIN ACETATE 0.2 MG OR TABS,,,,,
Desmopressin,DESMOPRESSIN ACE REFRIGERATED 0.01 % NA SOLN,,,,,
Desmopressin,DESMOPRESSIN ACETATE SPRAY 0.01 % NA SOLN,,,,,
Desmopressin,DESMOPRESSIN IVPB (UCI),,,,,
Acetaminophen,ACETAMINOPHEN 325 MG OR TABS,,,,,
Acetaminophen,ACETAMINOPHEN 650 MG RE SUPP,,,,,
Acetaminophen,ACETAMINOPHEN 500 MG OR TABS,,,,,
Acetaminophen,ACETAMINOPHEN 160 MG/5ML OR SOLN,,,,,
Acetaminophen,ACETAMINOPHEN 10 MG/ML IV SOLN,,,,,
Acetaminophen,ACETAMINOPHEN 325 MG RE SUPP,,,,,
Acetaminophen,ACETAMINOPHEN 80 MG OR CHEW,,,,,
Acetaminophen,ACETAMINOPHEN 325 MG/10.15ML PO SOLN,,,,,
Acetaminophen,ACETAMINOPHEN 650 MG/20.3ML PO SOLN,,,,,
Adenosine,ADENOSINE 6 MG/2ML IV SOLN,,,,,
Adenosine,ADENOSINE 12 MG/4ML IV SOLN,,,,,
Adenosine,ADENOSINE (DIAGNOSTIC) 3 MG/ML IV SOLN,,,,,
Valsartan,VALSARTAN 40 MG OR TABS,,,,,
Valsartan,VALSARTAN 160 MG OR TABS,,,,,
Valsartan,VALSARTAN 20 MG OR TABS (HALF TABLET),,,,,
Bacitracin,BACITRACIN 500 UNIT/GM EX OINT,,,,,
Bacitracin,BACITRACIN 500 UNIT/GM OINT - 1 GM (UCI),,,,,
Bacitracin,BACITRACIN 500 UNIT/GM OINT - 1 GM PACKET (UCI),,,,,
Bacitracin,BACITRACIN ZINC 500 UNIT/GM EX OINT,,,,,
Bacitracin,BACITRACIN 50000 UNIT IM SOLR,,,,,
Bacitracin,BACITRACIN-POLYMYXIN B 500-10000 UNIT/GM OP OINT,,,,,
Bacitracin,BACITRACIN-NEOMYCIN-POLYMYXIN 400-3.5-5000 EX OINT,,,,,
Bacitracin,BACITRACIN-NEOMYCIN-POLYMYXIN 400-5-5000 EX OINT,,,,,
Captopril,CAPTOPRIL 12.5 MG OR TABS,,,,,
Captopril,CAPTOPRIL 25 MG OR TABS,,,,,
Captopril,CAPTOPRIL 6.25 MG OR TABS (HALF TABLET),,,,,
Sumatriptan,SUMATRIPTAN SUCCINATE 50 MG OR TABS,,,,,
Sumatriptan,SUMATRIPTAN SUCCINATE 25 MG OR TABS,,,,,
Sumatriptan,SUMATRIPTAN SUCCINATE 6 MG/0.5ML SC SOLN,,,,,
Cephalexin,CEPHALEXIN 500 MG OR CAPS,,,,,
Cephalexin,CEPHALEXIN 250 MG OR CAPS,,,,,
Cephalexin,CEPHALEXIN 250 MG/5ML OR SUSR,,,,,
Nitroglycerin,NITROGLYCERIN 50 MG/250 ML D5W PREMIX INFUSION (UCI),,,,,
Nitroglycerin,NITROGLYCERIN 0.4 MG/SPRAY TL SOLN,,,,,
Nitroglycerin,NITROGLYCERIN 0.1 MG/HR TD PT24,,,,,
Nitroglycerin,NITROGLYCERIN 0.2 % TD OINT,,,,,
Nitroglycerin,NITROGLYCERIN 0.4 MG SL SUBL,,,,,
Nitroglycerin,NITROGLYCERIN 0.3 MG/HR TD PT24,,,,,
Nitroglycerin,NITROGLYCERIN 0.4 MG/HR TD PT24,,,,,
Nitroglycerin,NITROGLYCERIN 5 MG/ML IV SOLN,,,,,
Nitroglycerin,NITROGLYCERIN 100 MCG/ML IV 10 ML (UCI),,,,,
Clindamycin,CLINDAMYCIN PHOSPHATE IN NACL 600-0.9 MG/50ML-% IV SOLN,,,,,
Clindamycin,CLINDAMYCIN PHOSPHATE IN NACL 900-0.9 MG/50ML-% IV SOLN,,,,,
Clindamycin,CLINDAMYCIN PHOSPHATE IN D5W 600 MG/50ML IV SOLN,,,,,
Clindamycin,CLINDAMYCIN PHOSPHATE IN D5W 900 MG/50ML IV SOLN,,,,,
Clindamycin,CLINDAMYCIN HCL 300 MG OR CAPS,,,,,
Clindamycin,CLINDAMYCIN HCL 150 MG OR CAPS,,,,,
Clindamycin,CLINDAMYCIN PHOSPHATE 1 % EX SOLN,,,,,
Clindamycin,CLINDAMYCIN PHOSPHATE 600 MG/4ML IJ SOLN,,,,,
Clindamycin,CLINDAMYCIN PHOSPHATE 900 MG/6ML IJ SOLN,,,,,
Clindamycin,CLINDAMYCIN IVPB 600 MG (UCI),,,,,
Clindamycin,CLINDAMYCIN IVPB 900 MG (UCI),,,,,
Nimodipine,NIMODIPINE 30 MG OR CAPS,,,,,
Nimodipine,NIMODIPINE 30 MG/ML ORAL SUSPENSION (UCI),,,,,
Linezolid,LINEZOLID 600 MG OR TABS,,,,,
Linezolid,LINEZOLID 600 MG/300ML IV SOLN,,,,,
Ciprofloxacin,CIPROFLOXACIN HCL 500 MG OR TABS,,,,,
Ciprofloxacin,CIPROFLOXACIN HCL 250 MG OR TABS,,,,,
Ciprofloxacin,CIPROFLOXACIN IN D5W 200 MG/100ML IV SOLN,,,,,
Ciprofloxacin,CIPROFLOXACIN IN D5W 400 MG/200ML IV SOLN,,,,,
Ciprofloxacin,CIPROFLOXACIN HCL 0.3 % OP SOLN,,,,,
Ciprofloxacin,CIPROFLOXACIN IVPB <=400 MG (UCI),,,,,
Metoclopramide,METOCLOPRAMIDE HCL 5 MG/ML IJ SOLN,,,,,
Metoclopramide,METOCLOPRAMIDE HCL 10 MG OR TABS,,,,,
Metoclopramide,METOCLOPRAMIDE HCL 5 MG OR TABS,,,,,
Metoclopramide,METOCLOPRAMIDE HCL 10 MG/10ML OR SOLN,,,,,
Metoclopramide,METOCLOPRAMIDE IVPB (UCI),,,,,
Bupivacaine,BUPIVACAINE HCL (PF) 0.25 % IJ SOLN,,,,,
Bupivacaine,BUPIVACAINE HCL (PF) 0.5 % IJ SOLN,,,,,
Bupivacaine,BUPIVACAINE HCL (PF) 0.75 % IJ SOLN,,,,,
Bupivacaine,BUPIVACAINE HCL 0.25 % IJ SOLN,,,,,
Bupivacaine,BUPIVACAINE HCL 0.5 % IJ SOLN,,,,,
Bupivacaine,BUPIVACAINE LIPOSOME 1.3 % IJ SUSP,,,,,
Bupivacaine,BUPIVACAINE LIPOSOME 0.65% IJ SUSP,,,,,
Bupivacaine,BUPIVACAINE 0.125% LABOR EPIDURAL (UCI),,,,,
Bupivacaine,BUPIVACAINE 0.125% ANESTHESIA EPIDURAL INFUSION (UCI),,,,,
Bupivacaine,BUPIVACAINE 0.1% (CONC 1 MG/ML) PAIN MANAGEMENT EPIDURAL (UCI),,,,,
Bupivacaine,BUPIVACAINE 0.1% (CONC 1 MG/ML) PAIN MANAGEMENT PCEA (UCI),,,,,
Bupivacaine,BUPIVACAINE 0.5% PF INFUSION 500 ML - ON-Q PUMP (UCI),,,,,
Bupivacaine,BUPIVACAINE 0.5% PF INFUSION 400 ML - ON-Q PUMP (UCI),,,,,
