sinai_lab,mover_lab,,,,,
UNMATCHED,Corticotropin^6th specimen post XXX challenge,,,,,
UNMATCHED,Prolactin,,,,,
UNMATCHED,Follitropin,,,,,
UNMATCHED,Testosterone,,,,,
UNMATCHED,Platelet aggregation.adenosine diphosphate induced,,,,,
UNMATCHED,Calprotectin,,,,,
UNMATCHED,Lutropin,,,,,
UNMATCHED,Insulin-like growth factor-I,,,,,
UNMATCHED,Spherocytes,,,,,
UNMATCHED,Calcium oxalate crystals,,,,,
UNMATCHED,Gastrin,,,,,
UNMATCHED,Antithrombin actual/Normal,,,,,
UNMATCHED,Cryofibrinogen,,,,,
UNMATCHED,cycloSPORINE,,,,,
UNMATCHED,Protein C actual/Normal,,,,,
UNMATCHED,Protein S.free Ag actual/Normal,,,,,
UNMATCHED,Sjogrens syndrome-B extractable nuclear Ab,,,,,
UNMATCHED,Beta 2 glycoprotein 1 Ab.IgG,,,,,
UNMATCHED,Somatotropin,,,,,
UNMATCHED,Thyroxine,,,,,
UNMATCHED,Helicobacter pylori Ag,,,,,
UNMATCHED,Neutrophil cytoplasmic Ab,,,,,
UNMATCHED,Complement C4,,,,,
UNMATCHED,Zinc,,,,,
UNMATCHED,Cardiolipin Ab.IgG,,,,,
UNMATCHED,Smith extractable nuclear Ab,,,,,
UNMATCHED,Mitochondria Ab,,,,,
UNMATCHED,Liver kidney microsomal Ab,,,,,
UNMATCHED,Chromogranin A,,,,,
UNMATCHED,Cardiolipin Ab.IgM,,,,,
UNMATCHED,Beta 2 glycoprotein 1 Ab.IgM,,,,,
UNMATCHED,Sjogrens syndrome-A extractable nuclear Ab,,,,,
UNMATCHED,Cardiolipin Ab.IgA,,,,,
UNMATCHED,Methylmalonate,,,,,
UNMATCHED,Blood group antibody investigation,,,,,
UNMATCHED,Thiamine,,,,,
UNMATCHED,Smith extractable nuclear Ab+Ribonucleoprotein extractable nuclear Ab,,,,,
UNMATCHED,Beta 2 glycoprotein 1 Ab.IgA,,,,,
UNMATCHED,Myoglobin,,,,,
UNMATCHED,Ej Ab,,,,,
UNMATCHED,Mi-2 Ab,,,,,
UNMATCHED,Neuronal nuclear type 1 Ab,,,,,
UNMATCHED,CV2 Ab.IgG,,,,,
UNMATCHED,Phenytoin,,,,,
UNMATCHED,Glial nuclear type 1 Ab,,,,,
UNMATCHED,Immunologist review,,,,,
UNMATCHED,PM-SCL extractable nuclear Ab,,,,,
UNMATCHED,Signal recognition particle Ab,,,,,
UNMATCHED,Jo-1 extractable nuclear Ab,,,,,
UNMATCHED,Fibrillarin Ab,,,,,
UNMATCHED,Ku Ab,,,,,
UNMATCHED,Pl-7 Ab,,,,,
UNMATCHED,Erythrocytes.dual population,,,,,
UNMATCHED,Coagulation surface induced.hexagonal phase phospholipid,,,,,
UNMATCHED,Coagulation surface induced.lupus sensitive,,,,,
UNMATCHED,Yeast.hyphae,,,,,
UNMATCHED,Lupus anticoagulant neutralization.dilute phospholipid,,,,,
UNMATCHED,Purkinje cell cytoplasmic type 2 Ab,,,,,
UNMATCHED,Purkinje cell cytoplasmic type Tr Ab,,,,,
UNMATCHED,Amphiphysin Ab,,,,,
UNMATCHED,Voltage-gated calcium channel PQ type binding Ab,,,,,
UNMATCHED,Acetylcholine receptor binding Ab,,,,,
UNMATCHED,Neuronal nuclear type 2 Ab,,,,,
UNMATCHED,Aldolase,,,,,
UNMATCHED,Sjogrens syndrome-A extractable nuclear Ab.IgG,,,,,
UNMATCHED,Pl-12 Ab,,,,,
UNMATCHED,Neuronal nuclear type 3 Ab,,,,,
UNMATCHED,Purkinje cell cytoplasmic type 1 Ab,,,,,
UNMATCHED,Striated muscle Ab,,,,,
UNMATCHED,Purkinje cells Ab,,,,,
UNMATCHED,Voltage-gated calcium channel N type binding Ab,,,,,
UNMATCHED,Phenytoin.free,,,,,
UNMATCHED,Acetylcholine receptor ganglionic neuronal Ab,,,,,
UNMATCHED,Glomerular filtration rate/1.73 sq M.predicted,,,,,
UNMATCHED,U2 small nuclear ribonucleoprotein Ab,,,,,
UNMATCHED,Phenytoin.free/Phenytoin.total,,,,,
UNMATCHED,Macrocytes.oval,,,,,
UNMATCHED,Beta-2 transferrin,,,,,
UNMATCHED,Brucella sp Ab,,,,,
UNMATCHED,Coxiella burnetii phase 1 Ab.IgG,,,,,
UNMATCHED,Cholesterol.in lipoprotein (little a),,,,,
UNMATCHED,Metanephrine/Creatinine,,,,,
UNMATCHED,Coxiella burnetii phase 2 Ab.IgG,,,,,
UNMATCHED,Normetanephrine,,,,,
UNMATCHED,Aldosterone,,,,,
UNMATCHED,Normetanephrine/Creatinine,,,,,
UNMATCHED,Cobalamins.unsaturated binding capacity,,,,,
UNMATCHED,"t(9;22)(q34.1;q11)(ABL1,BCR) fusion transcript/control transcript",,,,,
UNMATCHED,Methemoglobin/Hemoglobin.total,,,,,
